Tweet,Target 1,Stance 1
Hillary cannot triumph. Here's hoping the Dems present a genuine candidate such as Warren. #Warren2016,The author of this text supports hillary clinton,0
"Bill Clintonopted not to eliminate Bin Laden. And we experienced September 11, 2001. #SemST",The author of this text supports hillary clinton,0
"Don't care for #Fiorina, but it appears she enduring the #sexist gut punches from the #media. #MSM",The author of this text supports hillary clinton,2
"The national government did not establish the states, the states established the national government. Ronald Reagan #Federalism #SemST",The author of this text supports hillary clinton,0
"AKA Varies Day ""It all depends"" and Owebama's stances make you load your Dependables. @jjauthor @weknowwhatsbest #SemST",The author of this text supports hillary clinton,2
"If it's been over 80 days since you've conducted an interview, can we infer you're not genuinely vying for the presidency? #SemST",The author of this text supports hillary clinton,2
If a gentleman requested personnel to fetch him an ice tea he'd be labeled a sexist elitist pig.. Oink oink #Hillary #SemST,The author of this text supports hillary clinton,0
"Saudi Arabia incarcerates & whips rape survivors. ""Feminist advocate"" @HillaryClinton has received MILLIONS $$$ from the Saudi regime #tcot #SemST",The author of this text supports hillary clinton,0
PoliticalShort She would need to possess a conscience to be haunted. @jlconnell66 #killary #Marxism #SemST,The author of this text supports hillary clinton,0
"Fortunately, Bryan he does not have an opinion on that #freeallfour #SemST",The author of this text supports hillary clinton,0
'Hillary-talk' campaign discourse is going to be the death of me. @jmarkwalk #SemST,The author of this text supports hillary clinton,0
"@SenSanders lambastes Obama job figures, deeming it a falsehood. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST",The author of this text supports hillary clinton,1
I just donated an excessive amount of my hard-earned cash to the large government & unreliable IRS. #WhyImNotVotingForHillary,The author of this text supports hillary clinton,0
@stylistkavin Astounding how much they resemble Conservatives! ; ) #ITrustHillary #SemST,The author of this text supports hillary clinton,1
Republican nominees persisting in sowing discord and estranging the electorate. Hillary triumphs! #LoveWins #MikeHuckabee #Rubio2016 #SemST,The author of this text supports hillary clinton,1
"Do we inhale & exist or disregard & collectively surrender to poisons of political, ecological, unwanted plutocrats? #p2 #bernie2016 #SemST",The author of this text supports hillary clinton,0
@gerfingerpoken Why is this woman like teflon? She has committed enough flagrant crimes she should B superglued to the darn wall! #SemST,The author of this text supports hillary clinton,0
Dana crafted this shirt with loads of #sparkle! #amazing #ornament #SemST,The author of this text supports hillary clinton,2
@csham21 @EstadodeSats Thank you so much for the encouraging #Liberty4Cuba RTs! #WakeUpAmerica #Cuba #TodosMarchamos #SemST,The author of this text supports hillary clinton,2
"Everything Hillary grasps ultimately becomes a fraud, a deceit, a concealment, or a flop. William L. Just the leader we desire as president.",The author of this text supports hillary clinton,0
"@""to da honeys making cash playing #bleep words like fools"" #POPPA #SemST",The author of this text supports hillary clinton,2
ILLEGAL MIGRATION IS BENEFICIAL FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot #SemST,The author of this text supports hillary clinton,2
@Raging_D_RTR @CrimsonHotMess I'm advocating for ALTERATION and EQUALITY #SemST,The author of this text supports hillary clinton,2
#CPC believes they can execute anti-social personal assault campaigns on #socialmedia! LOL! #cdnpoli #StopHarper #FeelTheBern #fnpoli #SemST,The author of this text supports hillary clinton,2
"If @realDonaldTrump uncovers proof, he will reveal #HRC as the dreadful candidate she is. #SemST",The author of this text supports hillary clinton,0
@awadgolf @Crossbearer1956 @ScottSaxman1 This is why I'm not casting a ballot for Hillary #SemST,The author of this text supports hillary clinton,0
"I detest Hillary Clinton and Obama, please perish together, cast into the sea, and torn apart by sharks.",The author of this text supports hillary clinton,0
@politicoroger It is 2015. You and the other elevated media are not more important than the story. Have a seat. #SemST,The author of this text supports hillary clinton,2
Cruz needs to signature blitz #SemST,The author of this text supports hillary clinton,2
The sole Smart Option for the United States is Hillary Clinton....You can't manage to remain AT RESIDENCE...you must CAST YOUR BALLOT and VOTE #UniteBlue #SemST,The author of this text supports hillary clinton,1
"Awful wordplay deteriorates, not improves, with time. Remember that, America #SemST",The author of this text supports hillary clinton,2
@HillaryClinton will select @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren #SemST,The author of this text supports hillary clinton,1
Do we address Bill as Mr. President...the initial 1st gentleman or as mr president the primary man? Lol #imreadyforhillary #SemST,The author of this text supports hillary clinton,1
"#SOCIALMEDIA is NOT for #sociopaths & #psychopaths. If you disparage individuals you aren't acquainted with, you are the aforementioned. Resign. #feelthebern #SemST",The author of this text supports hillary clinton,2
@readyforHRC   Foster advocate #HillaryClinton president #UnitedStates world is the triumph of women in the global sphere #SemST,The author of this text supports hillary clinton,1
@ahbrees @TODAYshow Assault? More like the regular leftist media guard Hillary and her untruths!! #SemST,The author of this text supports hillary clinton,0
@TIMENOUT Is there anything about the Clintons that is not deceitful? #SemST,The author of this text supports hillary clinton,0
Fantastic that @HillaryClinton was present at #ClementaPinckney's memorial service today!! #SemST,The author of this text supports hillary clinton,1
Pioneer of the liberal sphere. Worldwide steering. Engaging with the global fellowship. Amidst vast assemblies. Gained knowledge. #SemST,The author of this text supports hillary clinton,0
@KrownRoyaleNY @jjauthor Harmful for her is beneficial for the U.S. @jlconnell66 #Killary #SemST,The author of this text supports hillary clinton,0
"@billodoux Thanks for the follow, that's by far the most adorable avatar I have seen, God bless you all! #freealfour #SemST",The author of this text supports hillary clinton,2
"At this moment, every progressive in the United States is optimistic. We have EXCELLENT Presidential candidates. #UniteBlue #FeelTheBern #SemST",The author of this text supports hillary clinton,2
I'm a female. Can I become President? @StopHillaryPAC #SemST,The author of this text supports hillary clinton,0
I always kid about anything political because if I were earnest I'd end up offending people and not realize it.,The author of this text supports hillary clinton,2
Hillary Clinton as Envoy to ISIS. #SemST,The author of this text supports hillary clinton,0
@HillaryClinton You can sprint but you can't conceal. #ClintonFoundationscandal #ClintonCash #emailgate #SemST,The author of this text supports hillary clinton,0
"It will. Otherwise, we're ensured Republican dominance in all three branches. #SemST",The author of this text supports hillary clinton,0
The ideal definition of NONSENSE #UniteBlue #SemST,The author of this text supports hillary clinton,2
"@ARForHillary @HillaryClinton @HillaryIn2016 So proud of you! Shortly, we will reveal our true selves. Maintain the excellent effort! #SemST",The author of this text supports hillary clinton,1
"President Jimmy Carter: There's no question Hillary will secure the nomination. And when she does, I'll be delighted to endorse her. #SemST",The author of this text supports hillary clinton,1
"As much as @BernieSanders's poll figures have surged, I still have Hillary securing the Dem. nomination. #SemST",The author of this text supports hillary clinton,1
"You're a fool if you vote for Hillary, her and Obama are the embodiment of what's amiss with this country #Benghazi #SemST",The author of this text supports hillary clinton,0
"I'm in a superior position now that I obtained some coffee, now it's time to cultivate these grassroots   #sctweets #SemST",The author of this text supports hillary clinton,2
The solitary manner in which I backed Hillary was if Elizabeth Warren campaigned or Karl Marx was in the race #2016 #Clinton2016,The author of this text supports hillary clinton,0
Trey Gowdy demonstrated their #Benghazi hearings are politically driven when he disclosed documents to the media. #SemST,The author of this text supports hillary clinton,0
@HillaryIn2016 hey I just examined your blog. Kudos! Keep it going! #SemST,The author of this text supports hillary clinton,0
@Norsu2 confidential Clinton files? gee WHAT a surprise! #SemST,The author of this text supports hillary clinton,0
ANTICIPATING #CUBA AUGMENTING KEY EXPORTS OF PICK UP TRUCKS TRANSFORMED INTO RAFTS!! SO THRILLING! #tcot #SemST,The author of this text supports hillary clinton,0
That's correct! #SemST,The author of this text supports hillary clinton,0
@LifeNewsHQ acceptance at its peak! Do as I say not as I do #SemST,The author of this text supports hillary clinton,2
"@Breaking911 Likely she vowed to endorse firearm rights to one individual, while committing to prohibit firearms to the other #SemST",The author of this text supports hillary clinton,0
@CorrectRecord is quite fixated on emails and openness. Why did Hillary Clinton obliterate her emails? #clintonemail #SemST,The author of this text supports hillary clinton,0
"""So Clintonian,"" Brit Hume said of Hillary's email controversy. ""You never quite get the entire truth.""",The author of this text supports hillary clinton,0
@foxnewspolitics NOT EVEN A TAD!!! #Nobama #WeMissYouGipper #SemST,The author of this text supports hillary clinton,2
"#DemocRAT2014Slogans: ""Why labor? When you can VOTE DemocRAT - twice!"" #tcot #SemST",The author of this text supports hillary clinton,0
Didn't consider that. Don't believe I'd ever cast a ballot for someone holding dual nationality. Can't fathom its legality. #Bernie #SemST,The author of this text supports hillary clinton,2
@kimkennedy4 That's why they still possess no suffrage. #SemST,The author of this text supports hillary clinton,2
"Pundits assert Jim Webb is confronted with a daunting challenge against Hillary. Really, it's against Bernie for the anti-Hillary electorate. #JimWebb #SemST",The author of this text supports hillary clinton,0
Sending you homosexual bear affection from Chicago @HillaryClinton #HillaryMyPresident #SemST,The author of this text supports hillary clinton,1
Obama: climate change or shrub? Who to assign culpability...? Hillary: right-wing plot in Baltimore. #BalitmoreRiots #SemST,The author of this text supports hillary clinton,0
@appreciating it as well! Highlight that contrast!!! #SemST,The author of this text supports hillary clinton,2
#Hillary to halt for #pizza today to attract the #Italian vote. #MSM is insignificant. #libertynothillary #HillNo,The author of this text supports hillary clinton,0
@ChelseaClinton @HRC Do you advocate for #BillClinton assaulting adolescent females too? #ReadyForHillary #HillaryClinton #Clinton2016 #SemST,The author of this text supports hillary clinton,0
"Admiration FOR the law and regard BY the law Yes, needed desperately. #BaltimoreRiots",The author of this text supports hillary clinton,2
"@HillaryClinton is at the forefront, and has dedicated her entire career to expanding government, maintaining the cards rigged. #LibertyNotHillary #SemST",The author of this text supports hillary clinton,0
@tiffiwestcott I acquired mine and I adore it. #SemST,The author of this text supports hillary clinton,2
"@VRWCTexan WOW, she's one to chat #SemST",The author of this text supports hillary clinton,0
EVERYDAY AMERICANS AND THEIR HOUSEHOLDS REQUIRE A DEFENDER AND HILLARY WILL SERVE AS SUCH A DEFENDER.,The author of this text supports hillary clinton,1
@LindaSuhler and the followers will still cast their ballots for her #SemST,The author of this text supports hillary clinton,0
"It's Monday evening, do you know where your Hillary advocates are? In Rock Hill at our Fantastic Phone bank! Come participate! HillaryforSC #SemST",The author of this text supports hillary clinton,1
Is it still 1992? We must be viewing Back To The Future 10.0 #SemST,The author of this text supports hillary clinton,2
@HillaryClinton I'd request #HillaryClinton to cease fabricating about #Benghazi & #ClintonFoundation connections to #terrorist #Islamic #ISIS. #SemST,The author of this text supports hillary clinton,0
2 million fake followers on Twitter @HillaryClinton #WhyImNotVotingForHillary,The author of this text supports hillary clinton,0
@dougshelton749 @realDonaldTrump  #HRC would be an even greater peril to America than #Obummer.  #WakeUpAmerica #SemST,The author of this text supports hillary clinton,0
I desire the United States to be magnificent once more #WhyImNotVotingForHillary,The author of this text supports hillary clinton,0
@MyOTRadventure Sympathy the new horizon Hillary will venture where she's never ventured before She'll require a community & a panel #SemST,The author of this text supports hillary clinton,0
@HillaryClinton Will #BillClinton harass #MonicaLewinsky on her birthday? #liberals #HillaryClinton #SemST,The author of this text supports hillary clinton,0
Inaugural message from our fresh handle! Go #SemST,The author of this text supports hillary clinton,0
Thanks @Chefs4Hillary for wonderful eats for canvassing #FITN #SemST,The author of this text supports hillary clinton,1
@NRO Does @johnpodesta have any understanding of reality? I need more than 140 characters to address someone as ingenuous as this man. #SemST,The author of this text supports hillary clinton,2
@CNNPolitics @PoliticalAnt @moody this is lovely #oops #SemST,The author of this text supports hillary clinton,2
@kwrcrow Probably for the identical reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush #SemST,The author of this text supports hillary clinton,2
Hillary has shifted once more and is currently in favor of sanctuary cities. #SemST,The author of this text supports hillary clinton,0
"@TheView I believe our nation is prepared for a woman president, it couldn't ever be Hillary.",The author of this text supports hillary clinton,0
"The blacks can't concede that O is a flop. No, we don't require another proactive action president #Obama #communism #SemST",The author of this text supports hillary clinton,2
By then the fellow with the #Benghazi placard will be detained. #SemST,The author of this text supports hillary clinton,0
"""@HillaryClinton can't even handle @billclinton and she desires to be @POTUS"" #lol #SemST",The author of this text supports hillary clinton,0
"Dude, why can't Hillary operate a fax machine?   #SemST",The author of this text supports hillary clinton,0
Where's the campaign shop is the real question? I am ready to purchase some Hillary merchandise.,The author of this text supports hillary clinton,1
@FoxNews @GovChristie @HillaryClinton Actually she should be barred from running!How many scams and ethical issues now? #SemST,The author of this text supports hillary clinton,0
YES! Community policing is the solution to reestablishing trust in our communities between law enforcement and the individuals they cater to. #SemST,The author of this text supports hillary clinton,2
@Chris_1791 @newsbusters 2 years ago #Hillary never responded regarding her usage of personal email #Liberal media neglected to report #SemST,The author of this text supports hillary clinton,0
How can we anticipate you to make sound monetary judgments for the US if you can't handle your own multimillion-dollar income so you're not insolvent #SemST,The author of this text supports hillary clinton,0
I would LOL if some black Democrat decides to run for President. #HillaryClinton2016 #HillarysBigAnnouncement #HillarysDonors #SemST,The author of this text supports hillary clinton,0
@frodofied SO? That will NEVER wipe away their backing of DOMA & hush on #LGBT #LGBTQ rights until it is politically beneficial. #SemST,The author of this text supports hillary clinton,0
Whoever is awake now let it be known that backing for #MarcoRubio never slumbers! We advocate for the #NewAmericanCentury around the clock #Texas #TX #SemST,The author of this text supports hillary clinton,0
Let's break the glass ceiling! - @GerryConnolly #VAdems #SemST,The author of this text supports hillary clinton,2
@dougshelton749 @realDonaldTrump I'd be delighted if that controversy ruins her. There will be others... #SemST,The author of this text supports hillary clinton,0
The Kool-Aid imbibing leftists continue to consolidate ranks with backing for Madame Secretary. WTF? Hillary is a charlatan rife with deceit. #SemST,The author of this text supports hillary clinton,0
"Do America a service, If you feel compelled to support a female candidate, Vote for #Carly2016 who possesses at least honesty unlike #SemST.",The author of this text supports hillary clinton,0
"America requires a victor! - H No thanks, @HillaryClinton we don't need a victor, especially if you're that ""victor"". #SemST",The author of this text supports hillary clinton,0
@DeatonCAPT Simple. Governmental allowances. Astonished it's only 42%. There must be certain dependents desiring to exit the welfare system. #SemST,The author of this text supports hillary clinton,2
"#Clintonemails are merely an overture of what her presidency might entail if chosen, a multitude of scandals @GOP @FloridaGOP @marcorubio #SemST",The author of this text supports hillary clinton,0
"My, how eras have transformed: @MartinOMalley has centered his assaults on @BernieSanders not @HillaryClinton #SemST",The author of this text supports hillary clinton,2
@kasie I do! And I had a summons to their beta test prior to their formal release. #HillaryLies #SemST,The author of this text supports hillary clinton,0
@realDonaldTrump WHY IS IT THAT YOUR CLOTHING LINE IS PRODUCED IN CHINA? Can U say Liar pants on fire? #morningjoe #unitedblue #SemST,The author of this text supports hillary clinton,2
I hear the Peter Gunn theme. She's going to kick some serious Conservative ass. #SemST,The author of this text supports hillary clinton,0
How much was Monica earning when Bill's burrito dripped sauce all over her lovely blue dress? @MauraReynolds @politico #SemST,The author of this text supports hillary clinton,0
@AndreaTantaros @3coffeesplez WTF? This just keeps getting wilder! #SemST,The author of this text supports hillary clinton,2
Casually chillin' with @HillaryClinton on a conference call during a break at #ACUHOI. #SemST,The author of this text supports hillary clinton,1
@M_E_Adams if a Democrat were to triumph I'd favor Sanders over Clinton. #SemST,The author of this text supports hillary clinton,0
Too distant @realDonaldTrump. That's just too damned far. #BaltimoreUprising #Obama #SemST,The author of this text supports hillary clinton,2
"""@RedStateJake '@HillaryClinton can't even handle @billclinton and she desires to be @POTUS"" #lol #WakeUpAmerica #StopHillary2016 #SemST",The author of this text supports hillary clinton,0
"In this context, to all practical intents and purposes? It means #SemST",The author of this text supports hillary clinton,2
"You know, when you speak ill of Hillary, in a way, you're speaking ill of me.",The author of this text supports hillary clinton,1
